jan,jul,power_mean_jan_normalised
0,0,0
0,0,0
0,0,0
0,0,0
0,0.043597679,0
0,0.267981999,0
0,0.160073312,0
0,0.277603384,0
0.034869817,0.348698168,0
0.06931679,0.693167901,0.010439172
0.269342373,0.569342373,0.035173928
0.441501656,0.941501656,0.034417785
0.020277814,0.202778144,0.019700478
0.021181113,0.21181113,0.003510723
0,0.38325497,0.001043782
0,0.087217571,0
0,0.059105059,0
0,0.029095712,0
0,0.027095712,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0.028250469
,,0.135363583
,,0.191905434
,,0.161206951
,,0.117949417
,,0.078440902
,,0.058519896
,,0.009011016
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0.049398084
,,0.136004406
,,0.198535218
,,0.221805798
,,0.205623626
,,0.149188893
,,0.072415521
,,0.003123879
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0.005706191
,,0.01282875
,,0.020429734
,,0.010011414
,,0.001278084
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0.002258026
,,0.029863031
,,0.033194914
,,0.034067825
,,0.037729388
,,0.02930937
,,0.018661948
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0.003714343
,,0.020419231
,,0.048631238
,,0.10177064
,,0.147280857
,,0.098221277
,,0.041985332
,,0.004175256
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0.000738137
,,0.044940305
,,0.09774967
,,0.12887465
,,0.182930267
,,0.129057593
,,0.083620705
,,0.042203243
,,0.006148795
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0.005730812
,,0.042987303
,,0.111929165
,,0.175025338
,,0.148641984
,,0.145409825
,,0.035696861
,,0.002144874
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
