hour_of_day,feb_avg_kw,jun_avg_kw,oct_avg_kw
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,5.482263711913387e-06,0.0
4,0.0,6.245299756928818e-05,0.0
5,0.0,0.00015415745754332366,0.0
6,0.0,0.00025314243043360313,1.9402779198276523e-06
7,1.4190896443655403e-05,0.00035586035547842355,1.7512253846247805e-05
8,6.347707672149186e-05,0.00040847697817583337,5.1786733650628796e-05
9,0.00011627306842053999,0.0004224875037870409,9.983668984385142e-05
10,0.0001552041653114034,0.00046100602434623447,8.604946179847979e-05
11,0.00018548511868957674,0.00039713925978104896,8.743135304331261e-05
12,0.00021818124620575006,0.00041870988318449474,8.321368107232894e-05
13,0.00018159891042470355,0.0002962313054203436,6.312691029731721e-05
14,0.00011244658357540649,0.00021453451156973251,3.932618164616174e-05
15,4.514189162912385e-05,0.0002046559722376994,1.5258958622814e-05
16,4.092330370668344e-06,0.00014750684363308016,2.2082563969080237e-08
17,0.0,9.745952040632714e-05,0.0
18,0.0,2.454695776246227e-05,0.0
19,0.0,2.106855802529917e-06,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
